node,x0,x1,x2
'hood.n.01,0.17557598589100859,-0.96480029152094748,0.1956921036902223
1530s.n.01,0.95871408138048952,-0.2096726670033825,0.19204997317359085
15_may_organization.n.01,0.88536871930524486,-0.21665022682145943,-0.41128610943791005
1750s.n.01,0.95858632284288625,-0.21065115967806922,0.19161980765799
1760s.n.01,0.96033231884995385,-0.20976256875963811,0.18367220897502209
1770s.n.01,0.95785043841378814,-0.21233485734890731,0.19343279475613145
1780s.n.01,0.96242631808167733,-0.20265194366341066,0.18066802353332156
1790s.n.01,0.95787693112381789,-0.21183240836106429,0.1938492744475972
18-karat_gold.n.01,0.22239437558760908,0.71170035207630078,-0.66631970268527352
1820s.n.01,0.95374557863274856,-0.23491063628263412,0.18748877240383804
1830s.n.01,0.95771768965251913,-0.21090017863585614,0.19564745404572512
1840s.n.01,0.95704848164469503,-0.22477839120414345,0.18304495974271318
1850s.n.01,0.95666583556772633,-0.21406361929156309,0.19735005967909772
1860s.n.01,0.9588637549527933,-0.21448738855869143,0.18588045025883995
1870s.n.01,0.95790831145348365,-0.21111269128481921,0.19448110069853475
1900s.n.01,0.96002757067202316,-0.2027724457880454,0.19288889845053198
22-karat_gold.n.01,0.19323620631184463,0.71134510496336734,-0.67572642303232822
24-karat_gold.n.01,0.096033534992164965,0.9063443679324853,-0.41145613531917852
24/7.n.01,0.95953667700599288,-0.20535028651111187,0.19260648663213176
401-k_plan.n.01,0.46408593823549671,0.806411435586457,0.3664571893312924
9/11.n.01,0.75780074706330391,0.63019621032804152,0.16902886837259348
a'man.n.01,0.88176173369795097,-0.31591944891658247,-0.35024412469628868
a-horizon.n.01,0.32922042405055357,-0.70759247507045464,-0.6252253670544794
a-line.n.01,-0.62841547779664708,0.26063526253254726,-0.73290043477424049
a-list.n.01,0.11169731699900497,0.47100598374899311,0.87501821281041081
a-scan_ultrasonography.n.01,0.72323095780428048,0.61965676907863243,0.30486434739172885
a-team.n.01,0.86566605624902515,-0.34542246490460082,-0.36231255174536409
a.n.06,0.46750547615239951,0.1355204654968962,0.87352883942148951
a.n.07,0.10392982323484855,0.69472495642023002,-0.71171316333992962
a_battery.n.01,-0.90516894137874238,-0.24879444791408734,0.34460166910864659
a_cappella_singing.n.01,0.71267555112937053,0.54720111221379519,0.43891263563099792
a_kempis.n.01,-0.52919649930958401,-0.84022074782194023,0.11810568197707166
a_la_carte.n.01,0.1037398262196589,0.47307896628606372,0.87487958058096138
a_level.n.01,0.41931120500549485,-0.52569771206273275,0.74012911108765167
aa.n.01,0.16038251371735562,0.81487841340429179,-0.55698332180009302
aachen.n.01,0.28948157447401107,-0.95049040330699308,0.11290797741272308
aalborg.n.01,0.30937850412733175,-0.94898682561437742,0.060735048335479561
aalii.n.01,-0.6533825470500384,-0.091836944896322076,-0.75141324855575353
aalst.n.01,0.27432862130862745,-0.95453749059866366,0.1165409227464235
aalto.n.01,-0.5719315414847892,-0.81802689629653913,-0.06085310070036206
aardvark.n.01,-0.33930397796656114,-0.82900881592650033,-0.44451749438201993
aardwolf.n.01,-0.28766438730241251,-0.88562535018985533,-0.3645500507215344
aare.n.01,-0.40746750695307687,0.91202896425128943,-0.046259710697500532
aaron.n.01,-0.70455946629706745,-0.49181215400783629,-0.51156286390183536
aaron.n.02,-0.371490105417835,-0.89215307643022279,0.25697818953136575
ab.n.02,0.95265534989827338,-0.2265792416336439,0.20270528279490427
ab.n.04,0.096776855180277122,0.69280303071008209,-0.71458939331786508
aba.n.01,-0.65082039885576404,0.27616833523157641,-0.7072083562506134
aba.n.02,-0.96230689395917934,0.040678139731051825,0.26883030458546825
abaca.n.02,-0.58380169536021986,-0.38658208496180241,-0.71393954378725277
abacus.n.01,-0.88047642441872509,0.3103523174177476,-0.3583164708267087
abacus.n.02,-0.94162678430244173,-0.038097094033442233,0.33446585866497236
abadan.n.01,0.30571405918866107,-0.95021942417032179,0.060014665256790702
abalone.n.01,-0.21703130590015812,-0.9506183325736145,-0.22181523422948818
