node,x0,x1
'hood.n.01,-0.85880166494458088,0.51228849332239856
1530s.n.01,-0.030602404194874921,0.99952153201399208
15_may_organization.n.01,0.21276466811951905,0.97709313583824786
1750s.n.01,-0.02612410350368892,0.99964860391953458
1760s.n.01,-0.036864446130071171,0.99931016842304876
1770s.n.01,-0.027684360757299211,0.99960661075827595
1780s.n.01,-0.016319223127333839,0.99985673126634789
1790s.n.01,-0.02725583717337194,0.99961838690678073
18-karat_gold.n.01,0.93312321776307272,-0.35952866446729265
1820s.n.01,-0.015266510740989919,0.99987335885696671
1830s.n.01,-0.025002558585530677,0.99967728401036438
1840s.n.01,-0.033011589279281821,0.99944486344939198
1850s.n.01,-0.028239986604015107,0.99959106801670083
1860s.n.01,-0.030381699159081274,0.99952826496222491
1870s.n.01,-0.022503078520676616,0.99973667110862952
1900s.n.01,-0.030730608413525901,0.99951759854875122
22-karat_gold.n.01,0.93292950355226356,-0.36003102852929098
24-karat_gold.n.01,0.93780642364459788,-0.34712953183649209
24/7.n.01,-0.043530708083438091,0.99904197987665888
401-k_plan.n.01,0.7344824904278191,0.6786127550798412
9/11.n.01,0.92843924766567232,0.37145708163413366
a'man.n.01,0.087626727409582411,0.99614324107819008
a-horizon.n.01,-0.9248798719148692,0.38023285316890743
a-line.n.01,-0.40636156570854526,-0.91370130678302719
a-list.n.01,-0.34391507028395413,0.93899000236086783
a-scan_ultrasonography.n.01,0.91416724754576606,0.405312279134044
a-team.n.01,0.069478887461931108,0.99757329770761072
a.n.06,-0.27525927555313989,0.96135952240786759
a.n.07,0.82735715576311153,-0.5616582029221816
a_battery.n.01,-0.089810303337624381,-0.99594874843875814
a_cappella_singing.n.01,0.83674438279057595,0.54757523498657024
a_kempis.n.01,-0.99142524887033445,0.1305977641637264
a_la_carte.n.01,-0.34682239144587407,0.93792005463899208
a_level.n.01,0.45567976946971633,0.89013243273025744
aa.n.01,0.91934744720024753,-0.39342098498768663
aachen.n.01,-0.83610962508711995,0.54854397721504333
aalborg.n.01,-0.84350645792027612,0.53710022858775563
aalii.n.01,-0.76302387112469516,-0.64635467987489748
aalst.n.01,-0.80817331909977996,0.58892757313400845
aalto.n.01,-0.8840802398652845,-0.46731352385950575
aardvark.n.01,-0.56472157331763551,-0.82526925589894295
aardwolf.n.01,-0.51204860900576166,-0.85894471423802077
aare.n.01,-0.70213257338641344,0.71203205650585166
aaron.n.01,-0.92443214393571005,-0.3813200904237668
aaron.n.02,-0.98355357811704891,0.1805606797598755
ab.n.02,-0.02580094639526636,0.99965699680806364
ab.n.04,0.82914714952654089,-0.55901234738977146
aba.n.01,-0.40218732967230236,-0.91554636799740707
aba.n.02,0.99985769659593826,0.016259971097858865
abaca.n.02,-0.77005362529683496,-0.63796333301321551
abacus.n.01,-0.054966379923547887,0.99847809048581904
abacus.n.02,-0.040064949493128242,-0.99918696945284557
abadan.n.01,-0.84427479300773778,0.53589166255305465
abalone.n.01,-0.69878262921559897,-0.71531995443210528
abampere.n.01,-0.084415810456822421,0.99642047903836728
abandon.n.01,0.99766578737551692,0.068137924847349304
abandoned_person.n.01,-0.99273430425918097,0.12024309231399942
abandoned_ship.n.01,-0.22319529886157435,-0.97476338599092549
abandonment.n.01,0.94155799416686781,0.33682093717967965
abandonment.n.03,0.9231611816380384,0.38437754047055483
abarticulation.n.01,0.36877725672402711,0.92950693113355698
abasement.n.01,0.46024468974484201,0.88778073062210761
abashment.n.01,0.43979102019716532,0.89808889240216916
abasia.n.01,0.38699261102916382,0.92207167653812105
abasia_trepidans.n.01,0.38822586888403293,0.92155329462353142
abatable_nuisance.n.01,0.8019439235647674,0.59738240981771418
abatement.n.02,0.96327247231984492,0.26848825704881057
abatement_of_a_nuisance.n.01,0.96309518690008233,0.26912350523894435
abator.n.01,-0.7209820853283716,0.69293912628574272
abattis.n.01,0.0082264590916381782,-0.99995606177122109
abattoir.n.01,-0.23476933242625059,-0.97204071964827288
abaya.n.01,-0.39250470428478668,-0.91973901581724693
abbacy.n.01,-0.76599051758427916,0.64283615880959344
