node,x0,x1,x2,x3,x4
'hood.n.01,0.19604527927303997,-0.40823591441826007,-0.016568381851533521,0.208713399793446,0.86660324011834355
1530s.n.01,0.75728179411009433,-0.02369005926524103,0.2007263902283592,0.54553699851308113,-0.29667402681046345
15_may_organization.n.01,0.30988646811204651,0.3722950721236945,0.35671839083809759,-0.79709097720896027,-0.052184082686015702
1750s.n.01,0.75717247852427672,-0.02589771287268116,0.20534123959305087,0.54561288824752285,-0.29346124288156683
1760s.n.01,0.75124737380070483,-0.021647084973353492,0.19410494207653062,0.55224115742065283,-0.30406795449116969
1770s.n.01,0.74098301057005322,-0.051356830593235578,0.22037052794592998,0.56000575911539219,-0.29336755359831224
1780s.n.01,0.75753751131247715,-0.068738441167638761,0.21681072438996887,0.54184422741964244,-0.28414924105805228
1790s.n.01,0.7581000054750423,-0.017616725705677058,0.19639295948698132,0.5495842776060027,-0.29037691722353426
18-karat_gold.n.01,-0.40197519551985,0.49237868494684167,-0.10128220423620118,0.14304779196910231,-0.75179298190790134
1820s.n.01,0.76269739708223183,-0.0026232740905579107,0.17714142374989647,0.54359447101094616,-0.30223523970742056
1830s.n.01,0.75772453560300612,-0.0085938930508971789,0.21964696019210933,0.52949905966247623,-0.31157064721514766
1840s.n.01,0.77871542406346539,-0.029743044602431348,0.18607894103407144,0.5245396766946322,-0.28787872442022594
1850s.n.01,0.75530791334221925,-0.019539303575413006,0.20436431750372722,0.54826049472074645,-0.29450604764273502
1860s.n.01,0.74880575012841544,-0.043037525183628703,0.2141404688772181,0.55896587283262655,-0.28121388847842216
1870s.n.01,0.77357638978949972,-0.06573087895031568,0.18950449471956718,0.53874319621347666,-0.26647563658706452
1900s.n.01,0.76311272146577303,-0.033006308660655785,0.20261024373522513,0.54379202106644742,-0.28243292746558746
22-karat_gold.n.01,-0.39420037028879878,0.47159708910285408,-0.12207709720478024,0.14972171001333728,-0.76473805237390513
24-karat_gold.n.01,-0.34725328798142202,0.31356746441008421,0.0015481915280172237,0.19152491360869944,-0.86277243893980238
24/7.n.01,0.74565988559629537,-0.04557324711842408,0.24886800711575247,0.54357745969069138,-0.29053763856092141
401-k_plan.n.01,0.52040492230908175,0.055498179021958735,0.82394098986142428,-0.19672673955972977,-0.091955378615333913
9/11.n.01,-0.14343649270219902,0.29248857003088979,0.85751947124683192,-0.256873285374488,0.30415390241880558
a'man.n.01,0.14797558043387748,0.40513170254337566,0.41427017309151903,-0.79936844382322869,-0.057733877054199384
a-horizon.n.01,0.01655774774811997,-0.30315551523645434,-0.049184288283245461,-0.1124704728410551,0.94483062232560344
a-line.n.01,-0.74447671498588319,-0.19744192373486785,-0.27212128858491741,-0.37705355049343681,-0.43648603196731095
a-list.n.01,0.7862192488888482,0.19689481191823183,0.22785849919475526,0.24452461795913047,0.48098079712786596
a-scan_ultrasonography.n.01,0.011422942165714147,0.31287393569184702,0.87150132242055589,-0.1808286167240028,0.33127802620767988
a-team.n.01,0.11638937626033864,0.3910362932404815,0.4242923518223049,-0.80191294278786307,-0.10181017618894704
a.n.06,0.73291602339824558,0.39794416313382808,0.10724917757695357,0.41178606355786168,0.35123631992481258
a.n.07,-0.48363628698121608,0.31695543924031211,-0.032843395094242202,0.14361546884804027,-0.80243881430212216
a_battery.n.01,-0.77252188527292487,-0.60552826876649002,-0.037030559075939884,-0.18588430537853046,0.024431885428792145
a_cappella_singing.n.01,0.22737316454157896,0.31908060313362202,0.87989491747013593,-0.23955409880230724,0.12193268966746849
a_kempis.n.01,0.050017998337886158,0.10193586972813944,-0.96647787626641557,0.092789952378915713,-0.21066754780061847
a_la_carte.n.01,0.7855331410426214,0.20251484073270948,0.22045925087645446,0.24602647605285019,0.48246240770686205
a_level.n.01,-0.00073836409446947286,0.29242496911915727,0.52636106613998079,0.54512105133976241,-0.58329114573586061
aa.n.01,-0.44935375363184316,0.43122752427730315,-0.011427256368790224,0.24438182937430492,-0.74313574893528844
aachen.n.01,0.16816305898513617,-0.5299830468382819,0.076598642197118261,0.16827535497666984,0.81032685065757715
aalborg.n.01,0.11606820632298344,-0.50094058200633906,0.057951758556817931,0.23092946556508323,0.82393775855654061
aalii.n.01,0.35485720345321758,-0.13856340427872427,-0.80410461902462982,-0.35984910762135125,0.28058595014432625
aalst.n.01,0.14656998333216206,-0.55566230984709852,0.086727372925002794,0.14838944879040361,0.80010310573488297
aalto.n.01,-0.16934881355309417,-0.11285126532793126,-0.94297547348255106,0.060510331489547271,0.25629749682412795
aardvark.n.01,0.065804327885017513,-0.58827490303305952,-0.75133955313663614,0.12864005247032093,0.26173068294325719
aardwolf.n.01,0.036450528939231952,-0.55716241327025351,-0.76037278204190273,0.20183802180095797,0.26327010764369246
aare.n.01,-0.25064927402020626,0.52372169319759565,-0.23370643643472727,0.44890970746640363,0.63772051017531284
aaron.n.01,-0.25844710216247463,-0.40090840113031045,-0.79771075661169943,-0.36858861929591408,0.015966873462458495
aaron.n.02,0.071099776191324113,0.15596632230500701,-0.93922717853454274,0.12803541931340429,-0.26843689526126907
ab.n.02,0.75730552143984931,-0.045462179050976742,0.22356390781316357,0.54192927516462142,-0.28407110989456175
ab.n.04,-0.4813063770774284,0.31825694586953274,-0.033922223811697634,0.13951076877436364,-0.80400112266182622
aba.n.01,-0.73285215022975703,-0.16626053400983917,-0.26886266276792453,-0.38141400674415349,-0.4663617624008759
aba.n.02,-0.44753738418284611,-0.82323771560126546,-0.19887561286362995,-0.14425149756973851,0.24786414276667346
abaca.n.02,0.064597282620028992,-0.21568237126843648,-0.73656107643146485,-0.4864855295534819,0.41237567880447062
abacus.n.01,-0.62332094083817269,-0.66527051771952961,-0.31397895923303021,0.24908976030992749,-0.09043558888974737
