node,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
'hood.n.01,-0.21111713083965544,0.23856735832852993,-0.25026635498961547,0.58494177576497286,-0.22709733132452933,-0.078323930802968539,0.072722956916344755,0.3017752618295898,0.56064242076516602,0.15895128955084589
1530s.n.01,-0.34047034760282041,-0.15762495392795772,-0.23356217015875747,0.27402360040615198,0.32544668808075333,0.18908326536915876,0.022300094722502342,-0.60036552144538891,0.16045842771010857,0.44852814455586443
15_may_organization.n.01,0.25044949197613303,-0.2236430233777586,0.10919339056567272,-0.065404018176762543,0.16453295286713496,0.56270308960305537,-0.44550134018710608,0.090876928245915117,0.039175284870811684,0.56482729559427014
1750s.n.01,-0.33956836301375287,-0.16934535603030931,-0.23736174425746134,0.27326514146664632,0.32423579683395731,0.19689076157743993,0.024315770188747487,-0.59901661904689096,0.16171889001370024,0.44212819182097096
1760s.n.01,-0.34044533106826796,-0.15863805880863127,-0.24640262497944512,0.27638986101550544,0.32117864435084165,0.19459718445031288,0.013267628789845982,-0.59790166451856119,0.16319570253340929,0.44320175232663206
1770s.n.01,-0.33443112384248153,-0.16808104205959243,-0.22281778985512643,0.28094924488882922,0.31822289789644126,0.18658935431576326,0.0361635397873925,-0.60252657815428234,0.15625525805344059,0.45431961547526128
1780s.n.01,-0.35704345262442372,-0.15511137373528125,-0.24502444542810189,0.27481337228397601,0.31387855383591706,0.18183879242342652,0.0034221812977153349,-0.59504344304147083,0.14821039435236896,0.4529756390271702
1790s.n.01,-0.34216830258253406,-0.16989564009516384,-0.23606232600178637,0.2747435141054097,0.32714420615536788,0.18782876776375942,0.023016119650156073,-0.6015756737086172,0.16438012704440272,0.43706457518083269
18-karat_gold.n.01,0.39014547779603609,-0.46792271006864672,0.52993815177254155,0.13906821298273256,0.26454537449388926,-0.27550206763364626,0.38602365565013413,0.032311404084502462,0.17504981933866007,0.044936990789465912
1820s.n.01,-0.33367234706111876,-0.15525688868729737,-0.24455701092696486,0.28523585575035393,0.32628134180898294,0.19054014627458424,0.013224458316971612,-0.59827749949254505,0.15602694984225232,0.44506536897819804
1830s.n.01,-0.32350247224059808,-0.17921311694500211,-0.22561961586873744,0.27235829337621548,0.34814125905205473,0.18679232862270387,0.019103129258624195,-0.60426910837868753,0.15542829632770463,0.43850722185567637
1840s.n.01,-0.35826565068522104,-0.16696330454138508,-0.24871786402025275,0.27367151109308413,0.32370394998496788,0.18917361082133075,0.016496192036919349,-0.59409541745536476,0.15685996945861833,0.43421966431052189
1850s.n.01,-0.35225386655886087,-0.16614466427190203,-0.23877395531756043,0.27871382802656158,0.32689987717346713,0.18576436697744922,0.021799382323937151,-0.59636217090929444,0.16311835882020362,0.43526495009988275
1860s.n.01,-0.33147952928279195,-0.15794877695967188,-0.2356854525923428,0.27824984511779394,0.31974479947101092,0.18705410460604105,0.02388653967972458,-0.60293426403373129,0.15940095464139845,0.45320019120390315
1870s.n.01,-0.33327905133891383,-0.18737406989186109,-0.23348268209813366,0.27537505196255241,0.33587935533588054,0.19681989451071955,0.021838263685552299,-0.59172680818517331,0.16111665904341288,0.44188617623498577
1900s.n.01,-0.33323957015727307,-0.16941300937382758,-0.23198292491795838,0.27196529766870942,0.33157410448282254,0.18495083476414714,0.022377309590276302,-0.59883817316624444,0.16303246375731228,0.4500746448605713
22-karat_gold.n.01,0.39104334499443411,-0.46270612447007481,0.52279432841768381,0.13780525934815985,0.26738826944410521,-0.29188487158817183,0.38664379249840886,0.014743635530925732,0.17801924241746178,0.050349865467541256
24-karat_gold.n.01,0.36330081231144473,-0.41610797788828158,0.49456451259902801,0.13780995095274234,0.29446544504934802,-0.26658515967857438,0.43706660837219297,-0.19471019640949405,0.12559061129779855,0.16957658672282738
24/7.n.01,-0.33306172380819399,-0.1577775305546712,-0.21209847341226032,0.25575332956874075,0.32144134079958675,0.19450063904249323,0.063228468729079987,-0.61043593126925744,0.15577765081815867,0.46004418587081508
401-k_plan.n.01,-0.079226479232909569,0.11441771297859009,0.39263170075998205,-0.17305269764383574,0.20906173825770824,0.66296905400458028,0.31072437137813752,-0.25589439985652029,-0.038955328139131787,-0.38686493978630709
9/11.n.01,-0.27610968223601218,-0.24487620073606334,0.38153131230640008,0.26786951245434454,-0.10567979416074409,0.68144738886378486,-0.064345474923102469,-0.34811164375157272,-0.18394312802631893,-0.10835513696310806
a'man.n.01,0.2163669078190113,-0.23755968485262852,0.027242047168424613,-0.079747584319777229,0.14211781553478914,0.59276195834506074,-0.26988369092169956,0.28208469529261915,0.12703396153332505,0.59119228997732598
a-horizon.n.01,0.009076808624116162,0.25712605560655416,0.20222269901006762,0.54480891899355055,-0.43773573185333053,-0.13261643186387845,0.046614479797160664,0.31642834061254682,0.39052713109613296,0.36335576530366953
a-line.n.01,0.18897818736402558,0.52010520053019449,0.089011099774106109,0.37650681971192435,0.35697215509989644,-0.3727255394314557,0.071410988666823827,0.30890817593787701,-0.35547024086860524,0.22543138551889025
a-list.n.01,-0.078661300083933447,-0.76377514249552059,0.15407158498260082,-0.16753306922770639,0.037467874892943072,0.28911581016875149,0.32507227100698077,0.19201804171390305,-0.28166255724203693,0.22747522638081286
